TankCap,CurrentLevel,Dwellers,AvgNeed,RainNext7,DryDays,ModeClass,PerPersonBudget
10000,9577,3,135,0,20,2,127.69
12000,4772,5,135,0,8,1,95.44
8000,4779,3,135,0,8,2,159.3
12000,7380,3,135,0,7,2,281.14
12000,11787,3,135,0,16,2,196.45
5000,839,7,135,10,0,0,13.7
8000,3001,7,135,100,24,0,14.29
8000,2174,4,135,30,28,0,15.53
8000,2733,4,135,30,10,1,54.66
12000,6441,3,135,30,7,2,245.37
10000,4354,5,135,30,9,1,77.4
8000,3641,2,135,10,24,1,60.68
12000,10317,7,135,50,6,2,168.44
5000,4685,5,135,100,2,2,107.09
10000,1633,6,135,0,2,0,31.1
5000,1440,7,135,50,17,0,9.68
10000,7040,7,135,30,4,2,114.94
12000,5073,4,135,50,11,1,92.24
3000,986,2,135,100,11,0,35.85
10000,3657,2,135,0,18,1,81.27
5000,1951,6,135,0,29,0,8.97
12000,10365,6,135,100,5,2,197.43
10000,2229,7,135,100,1,0,36.39
3000,2214,3,135,30,11,1,53.67
3000,1792,4,135,0,18,0,19.91
8000,2934,4,135,50,4,1,83.83
8000,3822,7,135,10,11,0,39.71
5000,1652,5,135,10,26,0,10.17
10000,6503,3,135,100,26,1,66.7
10000,1734,7,135,30,16,0,12.39
8000,837,3,135,10,28,0,7.97
10000,6651,3,135,0,16,2,110.85
10000,2748,3,135,100,9,1,81.42
3000,491,7,135,50,24,0,2.34
8000,3656,4,135,100,22,0,33.24
12000,1748,4,135,50,16,0,21.85
8000,7183,3,135,100,14,2,136.82
12000,1498,5,135,100,11,0,21.79
3000,1862,2,135,100,29,0,25.68
5000,2473,7,135,50,15,0,18.84
10000,7048,2,135,50,23,2,122.57
3000,1186,5,135,100,18,0,10.54
10000,2395,7,135,10,7,0,39.1
5000,4918,3,135,30,20,1,65.57
5000,4275,4,135,30,16,1,53.44
3000,2623,2,135,30,22,0,47.69
5000,1626,6,135,50,4,0,30.97
12000,1619,6,135,50,21,0,10.28
5000,1864,5,135,10,15,0,19.88
10000,5833,3,135,30,5,2,222.21
10000,3939,2,135,30,7,2,225.09
10000,8450,3,135,100,24,1,93.89
10000,3443,2,135,50,17,1,81.01
12000,11624,5,135,30,24,1,77.49
8000,4092,5,135,10,11,1,59.52
3000,2573,6,135,10,14,0,24.5
10000,2749,3,135,30,26,0,28.19
5000,2351,7,135,50,25,0,10.75
10000,7295,6,135,10,8,2,121.58
5000,1122,3,135,100,12,0,24.93
5000,1097,6,135,10,25,0,5.85
10000,9725,7,135,0,14,1,79.39
12000,8917,4,135,0,9,2,198.16
5000,684,4,135,50,15,0,9.12
5000,2294,4,135,30,6,1,65.54
10000,4901,4,135,50,16,1,61.26
5000,3848,2,135,50,22,1,69.96
5000,1628,4,135,50,25,0,13.02
10000,2659,7,135,50,20,0,15.19
10000,1727,5,135,100,21,0,13.16
3000,1456,5,135,100,25,0,9.32
12000,8635,2,135,10,6,2,493.43
12000,1828,4,135,0,13,0,28.12
5000,4618,4,135,50,14,1,65.97
12000,5977,4,135,10,20,1,59.77
5000,1579,6,135,0,6,0,30.08
3000,553,3,135,30,8,0,18.43
10000,2645,6,135,100,18,0,19.59
10000,9411,3,135,0,15,2,167.31
10000,6744,4,135,30,7,2,192.69
12000,6780,4,135,0,17,1,79.76
3000,2074,6,135,100,26,0,10.64
12000,5905,6,135,100,22,0,35.79
12000,9084,3,135,10,28,1,86.51
3000,428,5,135,50,17,0,4.03
3000,1828,3,135,0,29,0,16.81
3000,728,6,135,0,19,0,5.11
3000,624,7,135,30,6,0,10.19
10000,4076,6,135,100,2,1,77.64
8000,1460,7,135,0,17,0,9.82
8000,1477,2,135,100,26,0,22.72
3000,1140,6,135,0,9,0,16.89
8000,7852,2,135,10,6,2,448.69
8000,2062,5,135,50,16,0,20.62
